Comment,Designator,Footprint,LCSC Part Number
.1 uF ,"C3,C4,C7,C8",603,C14663
1000uF,"C1,C2,C5,C6",SMD-ECAP-10x10,C249474
470 ohm,"R2,R3,R4,R5",603,C23179
10 ohm,"R6,R7,R8,R9",603,C22859
LM386,"U1,U2,U3,U4",SOIC-8_3.9x4.9x1.27P,C23573
220 ohm,R1,603,C22962
pwr_led,D1,805,C84256
